Route,Endpoint,Methods,Docstring,Decorators
/system/bucket_metrics,get_bucket_metrics,"OPTIONS, HEAD, GET",No docstring,None
/system/summary_metrics,get_summary_metrics,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/system/containers,fetch_running_docker_containers,"OPTIONS, HEAD, GET",Get all system metrics including running daemons and Docker containers,None
/system/discussion,discussion_board,"HEAD, OPTIONS, POST, GET",No docstring,None
/comments/<int:post_id>,get_comments,"OPTIONS, HEAD, GET",No docstring,None
/like_post/<int:post_id>,like_post,"OPTIONS, POST",No docstring,None
/comment/<int:post_id>,comment,"OPTIONS, POST",No docstring,None
/edit_post/<int:post_id>,edit_post,"HEAD, OPTIONS, POST, GET",No docstring,None
/delete_post/<int:post_id>,delete_post,"OPTIONS, POST",No docstring,None
/save_post/<int:post_id>,save_post,"OPTIONS, POST",No docstring,None
/unsave_post/<int:post_id>,unsave_post,"OPTIONS, POST",No docstring,None
/restore_post/<int:post_id>,restore_post,"OPTIONS, POST",No docstring,None
/delete_post_permanently/<int:post_id>,delete_post_permanently,"OPTIONS, POST",No docstring,None
/edit_comment/<int:comment_id>,edit_comment,"OPTIONS, POST",No docstring,None
/delete_comment/<int:comment_id>,delete_comment,"OPTIONS, POST",No docstring,None
